estacao=TRMM.4762 (9005761)
municipio=Espigão D`Oeste (1100098)
latitude=-11,0
longitude=-61,0
altitude=204,0m 

* variaveis calculadas pelo sistema 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
06/02/2019;23,0;sim;28,5;sim;34,0;sim;1,15;não;;;;não;;não;;;;;;;;;;;
05/02/2019;22,0;sim;27,0;sim;32,0;sim;4,45;não;;;;não;;não;;;;;;;;;;;
04/02/2019;22,0;sim;27,0;sim;32,0;sim;0,43;não;;;;não;;não;;;;;;;;;;;
03/02/2019;22,0;sim;27,0;sim;32,0;sim;10,23;não;;;;não;;não;;;;;;;;;;;
02/02/2019;22,0;sim;27,0;sim;32,0;sim;3,03;não;;;;não;;não;;;;;;;;;;;
01/02/2019;23,0;sim;26,5;sim;30,0;sim;0,2;não;;;;não;;não;;;;;;;;;;;
31/01/2019;23,0;sim;26,5;sim;30,0;sim;3,28;não;;;;não;;não;;;;;;;;;;;
30/01/2019;22,0;sim;25,0;sim;28,0;sim;0,73;não;;;;não;;não;;;;;;;;;;;
29/01/2019;22,0;sim;24,0;sim;26,0;sim;47,45;não;;;;não;;não;;;;;;;;;;;
28/01/2019;23,0;sim;26,0;sim;29,0;sim;14,85;não;;;;não;;não;;;;;;;;;;;
27/01/2019;23,0;sim;27,5;sim;32,0;sim;2,15;não;;;;não;;não;;;;;;;;;;;
26/01/2019;23,0;sim;27,5;sim;32,0;sim;0,68;não;;;;não;;não;;;;;;;;;;;
25/01/2019;23,0;sim;28,0;sim;33,0;sim;0,98;não;;;;não;;não;;;;;;;;;;;
24/01/2019;22,0;sim;27,0;sim;32,0;sim;8,05;não;;;;não;;não;;;;;;;;;;;
23/01/2019;23,0;sim;28,0;sim;33,0;sim;1,48;não;;;;não;;não;;;;;;;;;;;
22/01/2019;23,0;sim;27,5;sim;32,0;sim;4,7;não;;;;não;;não;;;;;;;;;;;
21/01/2019;22,0;sim;27,5;sim;33,0;sim;8,68;não;;;;não;;não;;;;;;;;;;;
20/01/2019;23,0;sim;27,5;sim;32,0;sim;25,73;não;;;;não;;não;;;;;;;;;;;
19/01/2019;23,0;sim;27,5;sim;32,0;sim;1,2;não;;;;não;;não;;;;;;;;;;;
18/01/2019;22,0;sim;28,0;sim;34,0;sim;4,0;não;;;;não;;não;;;;;;;;;;;
17/01/2019;22,0;sim;28,5;sim;35,0;sim;4,45;não;;;;não;;não;;;;;;;;;;;
16/01/2019;23,0;sim;28,0;sim;33,0;sim;7,15;não;;;;não;;não;;;;;;;;;;;
15/01/2019;22,0;sim;27,0;sim;32,0;sim;2,35;não;;;;não;;não;;;;;;;;;;;
14/01/2019;22,0;sim;27,0;sim;32,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
13/01/2019;22,0;sim;25,0;sim;28,0;sim;1,53;não;;;;não;;não;;;;;;;;;;;
12/01/2019;22,0;sim;26,5;sim;31,0;sim;2,93;não;;;;não;;não;;;;;;;;;;;
11/01/2019;22,0;sim;26,5;sim;31,0;sim;28,0;não;;;;não;;não;;;;;;;;;;;
10/01/2019;21,0;sim;26,0;sim;31,0;sim;29,08;não;;;;não;;não;;;;;;;;;;;
09/01/2019;22,0;sim;24,5;sim;27,0;sim;24,9;não;;;;não;;não;;;;;;;;;;;
08/01/2019;23,0;sim;27,0;sim;31,0;sim;0,8;não;;;;não;;não;;;;;;;;;;;
07/01/2019;23,0;sim;27,0;sim;31,0;sim;16,08;não;;;;não;;não;;;;;;;;;;;
06/01/2019;23,0;sim;27,5;sim;32,0;sim;1,48;não;;;;não;;não;;;;;;;;;;;
05/01/2019;23,0;sim;27,5;sim;32,0;sim;2,88;não;;;;não;;não;;;;;;;;;;;
04/01/2019;22,0;sim;26,0;sim;30,0;sim;15,25;não;;;;não;;não;;;;;;;;;;;
03/01/2019;23,0;sim;27,0;sim;31,0;sim;2,58;não;;;;não;;não;;;;;;;;;;;
02/01/2019;23,0;sim;28,0;sim;33,0;sim;5,88;não;;;;não;;não;;;;;;;;;;;
01/01/2019;23,0;sim;26,0;sim;29,0;sim;9,88;não;;;;não;;não;;;;;;;;;;;
31/12/2018;22,0;sim;26,0;sim;30,0;sim;3,2;não;;;;não;;não;;;;;;;;;;;
30/12/2018;22,0;sim;25,0;sim;28,0;sim;5,45;não;;;;não;;não;;;;;;;;;;;
29/12/2018;23,0;sim;25,0;sim;27,0;sim;3,9;não;;;;não;;não;;;;;;;;;;;
28/12/2018;23,0;sim;25,5;sim;28,0;sim;12,03;não;;;;não;;não;;;;;;;;;;;
27/12/2018;22,0;sim;26,5;sim;31,0;sim;0,13;não;;;;não;;não;;;;;;;;;;;
26/12/2018;22,0;sim;26,0;sim;30,0;sim;3,35;não;;;;não;;não;;;;;;;;;;;
25/12/2018;22,0;sim;26,5;sim;31,0;sim;0,28;não;;;;não;;não;;;;;;;;;;;
24/12/2018;22,0;sim;26,0;sim;30,0;sim;1,5;não;;;;não;;não;;;;;;;;;;;
23/12/2018;22,0;sim;25,0;sim;28,0;sim;14,38;não;;;;não;;não;;;;;;;;;;;
22/12/2018;22,0;sim;27,5;sim;33,0;sim;0,03;não;;;;não;;não;;;;;;;;;;;
21/12/2018;22,0;sim;27,0;sim;32,0;sim;40,95;não;;;;não;;não;;;;;;;;;;;
20/12/2018;23,0;sim;27,5;sim;32,0;sim;0,05;não;;;;não;;não;;;;;;;;;;;
19/12/2018;22,0;sim;27,5;sim;33,0;sim;3,33;não;;;;não;;não;;;;;;;;;;;
18/12/2018;22,0;sim;27,0;sim;32,0;sim;2,13;não;;;;não;;não;;;;;;;;;;;
17/12/2018;22,0;sim;27,5;sim;33,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
16/12/2018;23,0;sim;28,0;sim;33,0;sim;0,15;não;;;;não;;não;;;;;;;;;;;
15/12/2018;24,0;sim;27,0;sim;30,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
14/12/2018;22,0;sim;26,5;sim;31,0;sim;0,28;não;;;;não;;não;;;;;;;;;;;
13/12/2018;22,0;sim;27,0;sim;32,0;sim;6,88;não;;;;não;;não;;;;;;;;;;;
12/12/2018;22,0;sim;27,0;sim;32,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
11/12/2018;23,0;sim;26,5;sim;30,0;sim;8,18;não;;;;não;;não;;;;;;;;;;;
10/12/2018;23,0;sim;27,5;sim;32,0;sim;0,03;não;;;;não;;não;;;;;;;;;;;
09/12/2018;23,0;sim;27,5;sim;32,0;sim;0,63;não;;;;não;;não;;;;;;;;;;;
08/12/2018;23,0;sim;26,5;sim;30,0;sim;2,8;não;;;;não;;não;;;;;;;;;;;
07/12/2018;22,0;sim;26,0;sim;30,0;sim;46,55;não;;;;não;;não;;;;;;;;;;;
06/12/2018;22,0;sim;26,0;sim;30,0;sim;0,13;não;;;;não;;não;;;;;;;;;;;
05/12/2018;22,0;sim;27,0;sim;32,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
04/12/2018;22,0;sim;26,0;sim;30,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
03/12/2018;22,0;sim;25,0;sim;28,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
02/12/2018;22,0;sim;24,5;sim;27,0;sim;46,7;não;;;;não;;não;;;;;;;;;;;
01/12/2018;23,0;sim;26,0;sim;29,0;sim;2,2;não;;;;não;;não;;;;;;;;;;;
30/11/2018;23,0;sim;26,0;sim;29,0;sim;0,73;não;;;;não;;não;;;;;;;;;;;
29/11/2018;22,0;sim;26,0;sim;30,0;sim;14,88;não;;;;não;;não;;;;;;;;;;;
28/11/2018;23,0;sim;26,5;sim;30,0;sim;9,08;não;;;;não;;não;;;;;;;;;;;
27/11/2018;24,0;sim;27,5;sim;31,0;sim;5,68;não;;;;não;;não;;;;;;;;;;;
26/11/2018;23,0;sim;26,5;sim;30,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
25/11/2018;23,0;sim;25,5;sim;28,0;sim;10,55;não;;;;não;;não;;;;;;;;;;;
24/11/2018;23,0;sim;26,0;sim;29,0;sim;2,9;não;;;;não;;não;;;;;;;;;;;
23/11/2018;23,0;sim;26,0;sim;29,0;sim;4,6;não;;;;não;;não;;;;;;;;;;;
22/11/2018;23,0;sim;27,0;sim;31,0;sim;14,73;não;;;;não;;não;;;;;;;;;;;
21/11/2018;23,0;sim;28,0;sim;33,0;sim;7,6;não;;;;não;;não;;;;;;;;;;;
20/11/2018;23,0;sim;27,5;sim;32,0;sim;0,6;não;;;;não;;não;;;;;;;;;;;
